source,author,title,description,url,urlToImage,publishedAt,content,company,extracted_metrics,article_length,title_length,has_revenue_mention,has_growth_mention,has_partnership_mention,has_acquisition_mention
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,2025-01-06 20:44:58+00:00,[Removed],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",9.0,9.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Tom Warren,LG and Samsung are adding Microsoft’s Copilot AI assistant to their TVs,Microsoft’s Copilot AI assistant is coming to some 2025 smart TVs. Samsung and LG are both adding a Copilot web app to AI sections of their TVs.,https://www.theverge.com/2025/1/6/24337033/lg-samsung-microsoft-copilot-smart-tvs-ces-2025,https://cdn.vox-cdn.com/thumbor/iwxVOEeqzsJjhBKzJJJSL6vH1Ss=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25357666/STK259_MICROSOFT_COPILOT_2__A.png,2025-01-06 10:08:06+00:00,LG and Samsung are adding Microsofts Copilot AI assistant to their TVs  LG and Samsung are adding Microsofts Copilot AI assistant to their TVs   / Copilot on TVs seems to be nothing more than just a … [+2232 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,71.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Andrew Liszewski,LG’s lightweight Gram laptops get new Intel chips and offline AI features,"LG is upgrading its lightweight Gram laptop lineup with Intel Arrow Lake and Lunar Lake processors, plus LG AI software with both cloud and local offline features.",https://www.theverge.com/2024/12/31/24332438/lg-gram-pro-laptops-2025-ai-copilot,https://cdn.vox-cdn.com/thumbor/75OplhMU4gH4f0GQd63PwfAT3k8=/0x0:1772x1182/1200x628/filters:focal(886x591:887x592)/cdn.vox-cdn.com/uploads/chorus_asset/file/25810931/lggram1.jpg,2024-12-31 09:00:00+00:00,LGs lightweight Gram laptops get new Intel chips and offline AI features  LGs lightweight Gram laptops get new Intel chips and offline AI features   / The new Gram lineup includes on-device AI-powere… [+2616 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,73.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Nilay Patel,Why CEO Matt Garman is willing to bet AWS on AI,"The new chief of AWS on Anthropic, AI chips, and the future of the cloud.",https://www.theverge.com/24338171/aws-ceo-matt-garman-ai-chips-anthropic-cloud-computing-trainium-decoder-podcast-interview,https://cdn.vox-cdn.com/thumbor/AW683yTtuxhQb-TPWHFaQc-_VLM=/0x0:2760x1839/1200x628/filters:focal(1352x601:1353x602)/cdn.vox-cdn.com/uploads/chorus_asset/file/25821066/DCD_Matt_Garman_2.png,2025-01-13 15:00:00+00:00,"AWS chief Matt Garman says Amazon is already seeing the benefits of its massive AI investments.   ByNilay Patel, editor-in-chief of The Verge, host of the Decoder podcast, and co-host of The Vergecas… [+69130 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",215.0,47.0,False,False,False,False
"{'id': 'business-insider', 'name': 'Business Insider'}",Steven John,"Microsoft earnings: What to know about Microsoft's financial performance, including revenues, profits, and projections","Microsoft holds earnings calls each quarter, hosted by CEO Satya Nadella, where the company discusses revenues, profits, projections, and more.",https://www.businessinsider.com/microsoft-earnings,https://i.insider.com/6769c5559de00e389eb31c07?width=1200&format=jpeg,2025-01-04 04:23:02+00:00,Microsoft's earnings calls are typically led by CEO Satya Nadella.Adek Berry/AFP via Getty Images  <ul><li>Microsoft holds quarterly earnings calls to discuss the company's financial performance.</li… [+4213 chars],Microsoft,"{'has_revenue_mention': True, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,118.0,True,False,False,False
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,2024-12-17 17:41:47+00:00,[Removed],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",9.0,9.0,False,False,False,False
"{'id': 'wired', 'name': 'Wired'}",Will Knight,"Nvidia’s $3,000 ‘Personal AI Supercomputer’ Will Let You Ditch the Data Center","Nvidia CEO Jensen Huang also announced new AI models for robots, self-driving cars, and autonomous agents during a keynote address at CES.",https://www.wired.com/story/nvidia-personal-supercomputer-ces/,"https://media.wired.com/photos/677c706039874df966f54d82/191:100/w_1280,c_limit/BIZ_Nvidia_Project%20DIGITS%20Press%20Image.%20v2.jpg",2025-01-07 04:24:50+00:00,"Nvidia already sells boatloads of computer chips to every major company building proprietary artificial intelligence models. But now, at a moment when public interest in open source and do-it-yoursel… [+2826 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,78.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Tom Warren,AMD announces next-gen Radeon RX 9070-series GPUs with AI-powered FSR 4 upscaling,AMD is previewing its next-gen GPUs and FSR 4 upscaling. The Radeon RX 9070 XT and RX 9070 will be the first GPUs with AI-powered FSR 4 upscaling support.,https://www.theverge.com/2025/1/6/24336246/amd-radeon-rx-9070-series-rdna-4-fsr-4-ces-2025,https://cdn.vox-cdn.com/thumbor/61QbankdgUoUNMJhpHK3UNVrpnM=/0x0:3840x2158/1200x628/filters:focal(1920x1079:1921x1080)/cdn.vox-cdn.com/uploads/chorus_asset/file/25817672/radeonrx7000series.jpeg,2025-01-06 19:45:00+00:00,AMD announces next-gen Radeon RX 9070-series GPUs with AI-powered FSR 4 upscaling  AMD announces next-gen Radeon RX 9070-series GPUs with AI-powered FSR 4 upscaling   / AMD is only previewing its nex… [+2809 chars],Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",214.0,81.0,False,False,False,False
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Barr,We Did Not Reach the AI Promised Land in 2024,"'Agentic' AI is the talk of the town in Silicon Valley and beyond, but can it avoid the hype pitfalls of AI in 2024?",https://gizmodo.com/we-did-not-reach-the-ai-promised-land-in-2024-so-whats-next-2000540007,https://gizmodo.com/app/uploads/2024/12/MAIN_AI.jpg,2024-12-27 11:00:29+00:00,"The old saying goes that, with tech, you should never buy the first generation of anything new. Wait for the devs to work out the kinks, then check back. Were now two years into the AI revolution, an… [+14400 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",215.0,45.0,False,False,False,False
"{'id': 'the-verge', 'name': 'The Verge'}",Alex Heath,The AI talent wars are just getting started,"After raising $10 billion to cash out its employees, I spoke with the VP of AI at Databricks Naveen Rao about what he’s seeing in the ongoing talent war for the top AI talent.",https://www.theverge.com/2024/12/20/24326135/ai-talent-wars-databricks-interview,https://cdn.vox-cdn.com/thumbor/r098fS5_dcff-5ZYGnzPDvqTQ5A=/0x0:2250x1500/1200x628/filters:focal(1125x750:1126x751)/cdn.vox-cdn.com/uploads/chorus_asset/file/25799696/Raveen_Rao_CL_site_wide.png,2024-12-20 20:26:09+00:00,"The AI talent wars are just getting started  The AI talent wars are just getting started   / What Databrickss monster funding round this week says about the state of play. Also: Google gets flatter, … [+12454 chars]",Microsoft,"{'has_revenue_mention': False, 'has_growth_mention': False, 'has_partnership_mention': False, 'has_acquisition_mention': False}",215.0,43.0,False,False,False,False
